username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Cliff,16629251,"Lynnwood, WA",2023-01-22 23:37:50,@JustStop_Oil @GretaThunberg You mean arrange fake arrests to get media attention for your programmed message? If s… https://t.co/OI7T98wNn5,0,Twitter Web App,
Torin,91740677,"Seattle, WA",2023-01-22 22:15:27,"""fully completed mass extinction within decades"" (I'm already extremely skeptical)

Followed in the next tweet by… https://t.co/7waUqQGUKs",0,Twitter for Android,
Mark Bowden,1387519174180708353,"Seattle, WA",2023-01-22 21:47:22,@greg_price11 Maybe @RepKClark should have spent less time scaring her kids about climate change and more time teac… https://t.co/CCQuuDwszS,0,Twitter for iPhone,
Todd Myers 🐟🌲🐝,35830735,"Seattle, WA",2023-01-22 21:36:01,"@electmasont Diversity is a good thing. One-size-fits-all planning models don’t work and create boring, monochromat… https://t.co/yFgOD9NZfB",0,TweetDeck,
Gregory Knight,34127769,By the sea,2023-01-22 21:25:21,@lmphashby @TakFujiBeats @DiamondandSilk The real world is reality not false conspiracy theories or playing records… https://t.co/YNLBiKytEx,0,Twitter for iPhone,
Timothy J Dunkerton,3262801500,,2023-01-22 21:22:07,"Andy, why are you a denier? A denier is simply, someone who denies that the human contribution to climate change ca… https://t.co/wpd64ZVANx",0,Twitter for iPhone,
Atom Dawg,185942110,"Seattle, WA",2023-01-22 20:43:36,@EcoSenseNow It's called climate change not global warming.  It was a smart move on their part when global warming… https://t.co/BSSf4UtWXD,0,Twitter for Android,
political psyentist,924358570736435200,"Seattle, WA",2023-01-22 20:41:19,Somehow liberals have found an even dumber way blame climate change on the daily lives of working people than the i… https://t.co/ryM3gy5q2q,0,Twitter Web App,
Steve Zemke,832025474,"Seattle, WA",2023-01-22 20:27:32,"Time to change your lawn to a habitat for wildlife and for climate resiliency!
The Guardian - ""Previous studies hav… https://t.co/q830JY54dj",0,Twitter Web App,
TreePAC.org,1157691976273162241,"Seattle, WA",2023-01-22 20:25:48,"Time to change your lawn to a habitat for wildlife and for climate resiliency!
The Guardian - ""Previous studies hav… https://t.co/3AIL4RObxM",0,Twitter Web App,
UrbanForests,1092170689950273536,"Seattle, WA",2023-01-22 20:25:12,"Time to change your lawn to a habitat for wildlife and for climate resiliency!
The Guardian - ""Previous studies hav… https://t.co/4Cy8O2WAsU",1,Twitter Web App,
Gentry Gevers,1065260059318337536,"Seattle, WA",2023-01-22 20:10:03,"Jesus didn’t come to save the earth. 

He came to save people from their sins. 

He literally said “the earth will… https://t.co/2nwTu0HYub",9,Twitter for iPhone,
Gentry Gevers,1065260059318337536,"Seattle, WA",2023-01-22 19:58:41,"Everything the left is pushing is part of the depopulation agenda. 

Climate change - you’re the carbon they’re eli… https://t.co/6mnlZIlXaG",8,Twitter for iPhone,
Steve Otteson,28214463,"Redmond, WA",2023-01-22 19:50:03,"@dan_lefev Finally, global climate change might come in handy.",0,Twitter Web App,
grist,7215512,"Seattle, WA",2023-01-22 19:17:00,Ann-Helén Laestadius’ powerful bestselling novel “Stolen” explores an Indigenous community threatened by climate ch… https://t.co/3MXopK5X9L,6,Sprout Social,
Raul,14725377,"Seattle, WA",2023-01-22 18:59:04,"@MSpygate @Sjh11269 @dutchessprim You want to debate climate change and vaccine. Sure let’s.
But before we do what… https://t.co/DdOUhjLUcJ",0,Twitter for iPhone,
Nick Touran,94520746,Seattle,2023-01-22 17:49:57,"@hickHack15 Well, for starters, nuclear waste disposal is paid for by the rate payers via the nuclear waste fund.… https://t.co/bavBpfVwww",0,Twitter Web App,
Todd Myers 🐟🌲🐝,35830735,"Seattle, WA",2023-01-22 17:39:58,"@electmasont OK, I've heard the talking points. 

But how will it do that? What will these bills allow you to do th… https://t.co/zOeCY5tSEe",0,TweetDeck,
Shelli D.,972820757662253056,"Seattle, Washington",2023-01-22 17:32:31,"Volunteers plant mini-forests in Paris to slow climate change, tackle heatwaves https://t.co/P49144P1xm via @FRANCE24",0,Twitter for Android,
MattsAdventure,41320322,Seattle,2023-01-22 16:53:38,"- The “fuck you, got mine” mentality
- Pride to be overworked
- Trickle down economics
- Extreme greed masquerading… https://t.co/UWmGuBIuAq",0,Twitter for iPhone,
MSN,15856435,"Redmond, WA, USA",2023-01-22 16:50:44,How Climate Change Could Take the Stars Away From Us https://t.co/y7UvO0IUiU,1,OxfordBlue-Twitter,
leithaus,8334322,Seattle,2023-01-22 16:11:24,"What do you think will happen when the rich can reverse their aging, and get AI to produce most labor intensive ser… https://t.co/8fhlkKpTJT",0,Twitter for iPhone,
Gates Foundation,17899109,"Seattle, Washington",2023-01-22 16:00:07,The past several years have laid bare the deep structural inequalities that shape our societies. As @UNWomenChief s… https://t.co/p8CZtyWD6b,9,Khoros Publishing App,
Kristine Nicole Speer 🇺🇸,1504584828036997126,"Seattle, WA",2023-01-22 15:31:20,"For a quick take down of that Climate Change theory you ONBOARDED, without critical thought, search ""Grand Solar Minimum"".

The Sun: ""BOOM!""",0,Twitter for Android,
